Date,Price,Volume
2023-11-03,19230.6,189516123
2023-11-06,19411.75,180690631
2023-11-07,19406.7,198660124
2023-11-08,19443.5,194967997
2023-11-09,19395.3,208418472
2023-11-10,19425.35,152215785
2023-11-12,19525.55,37311902
2023-11-13,19443.55,189275733
2023-11-15,19675.45,291464988
2023-11-16,19765.2,282686669
2023-11-17,19731.8,236827462
2023-11-20,19694.0,173780543
2023-11-21,19783.4,194969012
2023-11-22,19811.85,184497984
2023-11-23,19802.0,170024085
2023-11-24,19794.7,145895044
2023-11-28,19889.7,229595031
2023-11-29,20096.6,236241768
2023-11-30,20133.15,486585349
2023-12-01,20267.9,265812566
2023-12-04,20686.8,381107418
2023-12-05,20855.1,421008350
2023-12-06,20937.7,359212958
2023-12-07,20901.15,274985308
2023-12-08,20969.4,292440768
2023-12-11,20997.1,212921451
2023-12-12,20906.4,244867128
2023-12-13,20926.35,260269318
2023-12-14,21182.7,334410589
2023-12-15,21456.65,508761756
2023-12-18,21418.65,249668965
2023-12-19,21453.1,249750062
2023-12-20,21150.15,363886229
2023-12-21,21255.05,277548079
2023-12-22,21349.4,284708918
2023-12-26,21441.35,219467748
2023-12-27,21654.75,256542963
2023-12-28,21778.7,393080755
2023-12-29,21731.4,270922276
2024-01-01,21741.9,153995217
2024-01-02,21665.8,263711568
2024-01-03,21517.35,311933117
2024-01-04,21658.6,339172697
2024-01-05,21710.8,309303266
2024-01-08,21513.0,231452935
2024-01-09,21544.85,228568589
2024-01-10,21618.7,216991926
2024-01-11,21647.2,212453866
2024-01-12,21894.55,294678459
2024-01-15,22097.45,345543523
2024-01-16,22032.3,292433764
2024-01-17,21571.95,455999867
2024-01-18,21462.25,387341268
2024-01-19,21622.4,343055124
2024-01-20,21571.8,162073740
2024-01-23,21238.8,449718534
2024-01-24,21453.95,407460664
2024-01-25,21352.6,418143077
2024-01-29,21737.6,376702289
2024-01-30,21522.1,375137333
2024-01-31,21725.7,410583065
2024-02-01,21697.45,332541208
2024-02-02,21853.8,442794738
2024-02-05,21771.7,440849699
2024-02-06,21929.4,370968111
2024-02-07,21930.5,346263704
2024-02-08,21717.95,491069786
2024-02-09,21782.5,349222850
2024-02-12,21616.05,287436165
2024-02-13,21743.25,365785766
2024-02-14,21840.05,359120861
2024-02-15,21910.75,345394395
2024-02-16,22040.7,343892935
2024-02-19,22122.25,218252325
2024-02-20,22196.95,295705319
2024-02-21,22055.05,364545679
